timestamps,datacenter_energy,cooling_energy,total_energy,carbon_intensity,carbon_emissions,water_usage,ambient_temperature,workload
2023-06-01 00:00:00,91836135.18022221,317.4787039710108,91836452.65892619,371.9097252752193,34154.86987863192,0.0,24.2,75
2023-06-01 01:00:00,91827871.91533332,316.6286714752786,91828188.5440048,386.9938720421317,35536.94624725934,0.0,23.8,75
2023-06-01 02:00:00,91823740.28288889,316.20436558151016,91824056.48725447,386.3783750990497,35478.82974054874,0.0,23.6,75
2023-06-01 03:00:00,91821674.46666667,315.99241397590964,91821990.45908065,374.6891950293277,34404.70769110354,0.0,23.5,75
2023-06-01 04:00:00,91829937.73155555,316.8410121686721,91830254.57256772,360.08627081630397,33066.81391714775,0.0,23.9,75
2023-06-01 05:00:00,91846464.26133335,318.5433523255985,91846782.80468567,345.66464558512956,31748.185626316044,0.0,24.7,75
2023-06-01 06:00:00,91817542.83422223,315.56894753624914,91817858.40316977,333.26492929332943,30599.672088597305,0.0,23.3,75
2023-06-01 07:00:00,91865056.60733332,320.46310616101533,91865377.07043947,325.2937810706305,29883.235856722455,0.0,25.6,75
2023-06-01 08:00:00,91887780.58577776,322.8094246679106,91888103.39520243,321.7866721667294,29568.367003254534,0.0,26.7,75
2023-06-01 09:00:00,91887780.58577776,322.8094246679106,91888103.39520243,322.8808830412409,29668.911965227806,0.0,26.7,75
2023-06-01 10:00:00,91933228.54266667,327.47042950936515,91933556.01309618,326.97422054985526,30059.902819758583,0.0,28.9,75
2023-06-01 11:00:00,91933228.54266667,327.47042950936515,91933556.01309618,334.8358245408458,30782.648030617092,0.0,28.9,75
2023-06-01 12:00:00,91933228.54266667,327.47042950936515,91933556.01309618,346.3182861011679,31838.27155364119,0.0,28.9,75
2023-06-01 13:00:00,91910504.56422223,325.1478428127021,91910829.71206504,354.02050390955094,32538.318249410193,0.0,27.8,75
2023-06-01 14:00:00,91873319.87222221,321.3167070967503,91873641.1889293,347.44462777982085,31921.00306566436,0.0,26.0,75
2023-06-01 15:00:00,91865056.60733332,320.46310616101533,91865377.07043947,335.71314042338633,30840.41423249578,0.0,25.6,75
2023-06-01 16:00:00,91772094.87733331,310.964412708878,91772405.84174602,334.26032680795043,30675.874368613884,0.0,21.1,75
2023-06-01 17:00:00,91772094.87733331,310.964412708878,91772405.84174602,338.2739711046615,31044.216161916058,0.0,21.1,75
2023-06-01 18:00:00,91772094.87733331,310.964412708878,91772405.84174602,343.01845804600555,31479.62914300795,0.0,21.1,75
2023-06-01 19:00:00,91761765.79622222,309.93616532744187,91762075.73238756,346.3652334655334,31783.19278433037,0.0,20.6,75
2023-06-01 20:00:00,91761765.79622222,309.93616532744187,91762075.73238756,347.60552217939903,31897.004251222137,0.0,20.6,75
2023-06-01 21:00:00,91761765.79622222,309.93616532744187,91762075.73238756,347.18166707011574,31858.11042658452,0.0,20.6,75
2023-06-01 22:00:00,91761765.79622222,309.93616532744187,91762075.73238756,347.74489911546965,31909.793768185194,0.0,20.6,75
