timestamps,datacenter_energy,cooling_energy,total_energy,carbon_intensity,carbon_emissions,water_usage,ambient_temperature,workload
2023-06-01 00:00:00,2789080.3069309583,296.02753375323795,2789376.3344647116,219.21124746831825,611.4626659366144,0.0,13.1,0.48660254037844386
2023-06-01 01:00:00,2803053.955812472,296.18781461685154,2803350.143627089,260.66488928835315,730.734954825044,0.0,13.2,0.4965925826289069
2023-06-01 02:00:00,2815378.760666667,296.83721618549924,2815675.5978828524,294.1261947456089,828.1639492433508,0.0,13.6,0.5
2023-06-01 03:00:00,2821646.301812472,297.6671465641054,2821943.968959036,305.7031249236305,862.6770896701698,0.0,14.1,0.4965925826289069
2023-06-01 04:00:00,2830396.631375402,299.3847075598134,2830696.016082962,307.92544866559473,871.6433407882575,0.0,15.1,0.48660254037844386
2023-06-01 05:00:00,2838309.6160281184,301.72378461120655,2838611.3398127295,309.24452583408174,877.825017807635,0.0,16.4,0.47071067811865475
2023-06-01 06:00:00,2784701.6777777774,299.2096197433499,2785000.8873975207,311.2533188486453,866.8407691989006,0.0,15.0,0.45
2023-06-01 07:00:00,2801401.5835621334,303.21729461726494,2801704.8008567505,308.2575838981132,863.6467527078463,0.0,17.2,0.4258819045102521
2023-06-01 08:00:00,3163261.060444445,306.50981506127965,3163567.5702595063,305.96143238255456,967.9296652355964,0.0,18.9,0.7
2023-06-01 09:00:00,3247685.956679821,308.7137211271167,3247994.6704009483,302.7514366812623,983.3350527969701,0.0,20.0,0.7517638090205041
2023-06-01 10:00:00,3317576.956222222,309.93616532744187,3317886.89238755,301.17492550346196,999.2643376437333,0.0,20.6,0.7999999999999999
2023-06-01 11:00:00,3400003.0380562353,313.2525826106869,3400316.290638846,301.3568761703965,1024.7086953382327,0.0,22.2,0.8414213562373094
2023-06-01 12:00:00,3450283.1878619147,314.5131488938337,3450597.7010108083,302.10328164022485,1042.4368890955807,0.0,22.8,0.8732050807568876
2023-06-01 13:00:00,3474098.8531805,314.5131488938337,3474413.366329394,301.72081053610395,1048.302817026378,0.0,22.8,0.8931851652578137
2023-06-01 14:00:00,3492551.0142222224,315.56894753624914,3492866.583169759,287.05462561453373,1002.6435093533107,0.0,23.3,0.8999999999999999
2023-06-01 15:00:00,3474098.8531805,314.5131488938337,3474413.366329394,253.47810435927767,880.6877138577113,0.0,22.8,0.8931851652578137
2023-06-01 16:00:00,3427559.20941747,312.2084535750758,3427871.417871045,209.4792194722489,718.0678290668577,0.0,21.7,0.8732050807568877
2023-06-01 17:00:00,3354555.081167346,308.7137211271167,3354863.794888473,185.4079358591399,622.0183712988328,0.0,20.0,0.8414213562373095
2023-06-01 18:00:00,3292787.161555555,307.50519740952063,3293094.6667529647,179.26346071314487,590.331546418137,0.0,19.4,0.7999999999999999
2023-06-01 19:00:00,3202237.999790932,304.3619547796177,3202542.361745712,176.96484161773552,566.7374018204185,0.0,17.8,0.7517638090205041
2023-06-01 20:00:00,2770551.1246666675,303.21729461726494,2770854.3419612846,176.86553353249585,490.0686315318153,0.0,17.2,0.4
2023-06-01 21:00:00,2791072.502451022,302.279286409169,2791374.7817374314,177.22422453732182,494.69923108645224,0.0,16.7,0.4258819045102521
2023-06-01 22:00:00,2826018.0022222223,302.8403056289158,2826320.842527851,180.24509227582183,509.43046106251103,0.0,17.0,0.45
2023-06-01 23:00:00,2821783.0862503396,300.2707783357952,2822083.3570286753,190.77731373155814,538.3894819804684,0.0,15.6,0.47071067811865475
2023-06-02 00:00:00,2828330.8151531797,299.2096197433499,2828630.024772923,219.21124746831825,620.0675163568123,0.0,15.0,0.48660254037844386
2023-06-02 01:00:00,2840238.6478124727,299.2096197433499,2840537.857432216,260.66488928835315,740.4284861269444,0.0,15.0,0.4965925826289069
2023-06-02 02:00:00,2844300.187777778,299.2096197433499,2844599.3973975214,294.1261947456089,836.6711963321851,0.0,15.0,0.5
2023-06-02 03:00:00,2840238.6478124727,299.2096197433499,2840537.857432216,305.7031249236305,868.3612994809025,0.0,15.0,0.4965925826289069
2023-06-02 04:00:00,2848988.9773754026,300.9920076116291,2849289.9693830144,307.92544866559473,877.3688922006435,0.0,16.0,0.48660254037844386
2023-06-02 05:00:00,2821783.0862503396,300.2707783357952,2822083.3570286753,309.24452583408174,872.7138296085864,0.0,15.6,0.47071067811865475
2023-06-02 06:00:00,2797096.575111111,300.2707783357952,2797396.845889447,311.2533188486453,870.6990524198226,0.0,15.6,0.45
2023-06-02 07:00:00,2778677.605117689,301.1739793659652,2778978.7790970546,308.2575838981132,856.6412841485865,0.0,16.1,0.4258819045102521
2023-06-02 08:00:00,3117813.1035555555,302.279286409169,3118115.3828419647,305.96143238255456,954.023048868405,0.0,16.7,0.7
2023-06-02 09:00:00,3189843.1024575983,303.21729461726494,3190146.3197522154,302.7514366812623,965.8213815284248,0.0,17.2,0.7517638090205041
2023-06-02 10:00:00,3284523.8966666665,306.70799274195366,3284830.6046594083,301.17492550346196,989.3086126497892,0.0,19.0,0.7999999999999999
