timestamps,datacenter_energy,cooling_energy,total_energy,carbon_intensity,carbon_emissions,water_usage,ambient_temperature,workload
2023-06-01 00:00:00,109715688.18022223,317.4787039710108,109716005.6589262,371.9097252752193,40804.44952290565,0.0,24.2,90
2023-06-01 01:00:00,109707424.91533333,316.6286714752786,109707741.54400481,386.9938720421317,42456.22369311185,0.0,23.8,90
2023-06-01 02:00:00,109703293.28288889,316.20436558151016,109703609.48725447,386.3783750990497,42387.10237618608,0.0,23.6,90
2023-06-01 03:00:00,109701227.46666667,315.99241397590964,109701543.45908065,374.6891950293277,41103.98301215774,0.0,23.5,90
2023-06-01 04:00:00,109709490.73155557,316.8410121686721,109709807.57256773,360.08627081630397,39504.99548078022,0.0,23.9,90
2023-06-01 05:00:00,109726017.26133336,318.5433523255985,109726335.80468568,345.66464558512956,37928.514977281586,0.0,24.7,90
2023-06-01 06:00:00,109697095.83422223,315.56894753624914,109697411.40316977,333.26492929332943,36558.30005493864,0.0,23.3,90
2023-06-01 07:00:00,109744609.60733332,320.46310616101533,109744930.07043947,325.2937810706305,35699.34325594519,0.0,25.6,90
2023-06-01 08:00:00,109767333.58577779,322.8094246679106,109767656.39520246,321.7866721667294,35321.768862953206,0.0,26.7,90
2023-06-01 09:00:00,109767333.58577779,322.8094246679106,109767656.39520246,322.8808830412409,35441.87782625048,0.0,26.7,90
2023-06-01 10:00:00,109812781.54266667,327.47042950936515,109813109.01309618,326.97422054985526,35906.055725713406,0.0,28.9,90
2023-06-01 11:00:00,109812781.54266667,327.47042950936515,109813109.01309618,334.8358245408458,36769.362901793844,0.0,28.9,90
2023-06-01 12:00:00,109812781.54266667,327.47042950936515,109813109.01309618,346.3182861011679,38030.287704856186,0.0,28.9,90
2023-06-01 13:00:00,109790057.56422225,325.1478428127021,109790382.71206506,354.02050390955094,38868.04661214772,0.0,27.8,90
2023-06-01 14:00:00,109752872.87222221,321.3167070967503,109753194.1889293,347.44462777982085,38133.15770261894,0.0,26.0,90
2023-06-01 15:00:00,109744609.60733332,320.46310616101533,109744930.07043947,335.71314042338633,36842.81511949216,0.0,25.6,90
2023-06-01 16:00:00,109651647.87733333,310.964412708878,109651958.84174603,334.26032680795043,36652.29959757396,0.0,21.1,90
2023-06-01 17:00:00,109651647.87733333,310.964412708878,109651958.84174603,338.2739711046615,37092.40355680233,0.0,21.1,90
2023-06-01 18:00:00,109651647.87733333,310.964412708878,109651958.84174603,343.01845804600555,37612.645843619786,0.0,21.1,90
2023-06-01 19:00:00,109641318.79622222,309.93616532744187,109641628.73238756,346.3652334655334,37976.048333434745,0.0,20.6,90
2023-06-01 20:00:00,109641318.79622222,309.93616532744187,109641628.73238756,347.60552217939903,38112.035608121376,0.0,20.6,90
2023-06-01 21:00:00,109641318.79622222,309.93616532744187,109641628.73238756,347.18166707011574,38065.56344359301,0.0,20.6,90
2023-06-01 22:00:00,109641318.79622222,309.93616532744187,109641628.73238756,347.74489911546965,38127.31712239989,0.0,20.6,90
2023-06-01 23:00:00,109651647.87733333,310.964412708878,109651958.84174603,354.14011475181053,38832.15728697675,0.0,21.1,90
2023-06-02 00:00:00,109651647.87733333,310.964412708878,109651958.84174603,371.9097252752193,40780.62988872342,0.0,21.1,90
2023-06-02 01:00:00,109641318.79622222,309.93616532744187,109641628.73238756,386.9938720421317,42430.63844015251,0.0,20.6,90
2023-06-02 02:00:00,109641318.79622222,309.93616532744187,109641628.73238756,386.3783750990497,42363.15435283318,0.0,20.6,90
2023-06-02 03:00:00,109641318.79622222,309.93616532744187,109641628.73238756,374.6891950293277,41081.533611442705,0.0,20.6,90
2023-06-02 04:00:00,109641318.79622222,309.93616532744187,109641628.73238756,360.08627081630397,39480.44521647116,0.0,20.6,90
2023-06-02 05:00:00,109641318.79622222,309.93616532744187,109641628.73238756,345.66464558512956,37899.2347371571,0.0,20.6,90
2023-06-02 06:00:00,109641318.79622222,309.93616532744187,109641628.73238756,333.26492929332943,36539.70964710462,0.0,20.6,90
2023-06-02 07:00:00,109649582.06111114,310.7581157934023,109649892.81922694,325.2937810706305,35668.4282291557,0.0,21.0,90
2023-06-02 08:00:00,109664042.7746667,312.2084535750758,109664354.98312028,321.7866721667294,35288.52784532916,0.0,21.7,90
2023-06-02 09:00:00,109664042.7746667,312.2084535750758,109664354.98312028,322.8808830412409,35408.52377509799,0.0,21.7,90
2023-06-02 10:00:00,109674371.8557778,313.2525826106869,109674685.10836041,326.97422054985526,35860.794677356964,0.0,22.2,90
2023-06-02 11:00:00,109686766.75311111,314.5131488938337,109687081.26626,334.8358245408458,36727.16429726693,0.0,22.8,90
2023-06-02 12:00:00,109697095.83422223,315.56894753624914,109697411.40316977,346.3182861011679,37990.21950688047,0.0,23.3,90
2023-06-02 13:00:00,109752872.87222221,321.3167070967503,109753194.1889293,354.02050390955094,38854.88111244755,0.0,26.0,90
2023-06-02 14:00:00,109754938.68844447,321.53006848993004,109755260.21851295,347.44462777982085,38133.87553349861,0.0,26.1,90
2023-06-02 15:00:00,109767333.58577779,322.8094246679106,109767656.39520246,335.71314042338633,36850.44464534862,0.0,26.7,90
2023-06-02 16:00:00,109767333.58577779,322.8094246679106,109767656.39520246,334.26032680795043,36690.97269960319,0.0,26.7,90
2023-06-02 17:00:00,109754938.68844447,321.53006848993004,109755260.21851295,338.2739711046615,37127.34772374185,0.0,26.1,90
2023-06-02 18:00:00,109754938.68844447,321.53006848993004,109755260.21851295,343.01845804600555,37648.08012259241,0.0,26.1,90
2023-06-02 19:00:00,109732214.71000001,319.1829447521464,109732533.89294475,346.3652334655334,38007.53472059436,0.0,25.0,90
2023-06-02 20:00:00,109709490.73155557,316.8410121686721,109709807.57256773,347.60552217939903,38135.73494946379,0.0,23.9,90
2023-06-02 21:00:00,109709490.73155557,316.8410121686721,109709807.57256773,347.18166707011574,38089.23388698567,0.0,23.9,90
2023-06-02 22:00:00,109709490.73155557,316.8410121686721,109709807.57256773,347.74489911546965,38151.025966300156,0.0,23.9,90
2023-06-02 23:00:00,109697095.83422223,315.56894753624914,109697411.40316977,354.14011475181053,38848.25386229511,0.0,23.3,90
2023-06-03 00:00:00,109697095.83422223,315.56894753624914,109697411.40316977,371.9097252752193,40797.53413835558,0.0,23.3,90
2023-06-03 01:00:00,109697095.83422223,315.56894753624914,109697411.40316977,386.9938720421317,42452.225991911364,0.0,23.3,90
2023-06-03 02:00:00,109686766.75311111,314.5131488938337,109687081.26626,386.3783750990497,42380.71622901496,0.0,22.8,90
2023-06-03 03:00:00,109686766.75311111,314.5131488938337,109687081.26626,374.6891950293277,41098.56418477141,0.0,22.8,90
2023-06-03 04:00:00,109674371.8557778,313.2525826106869,109674685.10836041,360.08627081630397,39492.348363621924,0.0,22.2,90
2023-06-03 05:00:00,109686766.75311111,314.5131488938337,109687081.26626,345.66464558512956,37914.94607116907,0.0,22.8,90
2023-06-03 06:00:00,109686766.75311111,314.5131488938337,109687081.26626,333.26492929332943,36554.85738259182,0.0,22.8,90
2023-06-03 07:00:00,109697095.83422223,315.56894753624914,109697411.40316977,325.2937810706305,35683.885728997586,0.0,23.3,90
2023-06-03 08:00:00,109709490.73155557,316.8410121686721,109709807.57256773,321.7866721667294,35303.15388282882,0.0,23.9,90
2023-06-03 09:00:00,109709490.73155557,316.8410121686721,109709807.57256773,322.8808830412409,35423.199547315286,0.0,23.9,90
2023-06-03 10:00:00,109709490.73155557,316.8410121686721,109709807.57256773,326.97422054985526,35872.27881771494,0.0,23.9,90
2023-06-03 11:00:00,109697095.83422223,315.56894753624914,109697411.40316977,334.8358245408458,36730.62319717673,0.0,23.3,90
2023-06-03 12:00:00,109686766.75311111,314.5131488938337,109687081.26626,346.3182861011679,37986.64199157069,0.0,22.8,90
2023-06-03 13:00:00,109686766.75311111,314.5131488938337,109687081.26626,354.02050390955094,38831.47578224923,0.0,22.8,90
2023-06-03 14:00:00,109664042.7746667,312.2084535750758,109664354.98312028,347.44462777982085,38102.29099782436,0.0,21.7,90
2023-06-03 15:00:00,109686766.75311111,314.5131488938337,109687081.26626,335.71314042338633,36823.39451577133,0.0,22.8,90
2023-06-03 16:00:00,109709490.73155557,316.8410121686721,109709807.57256773,334.26032680795043,36671.63613324385,0.0,23.9,90
2023-06-03 17:00:00,109686766.75311111,314.5131488938337,109687081.26626,338.2739711046615,37104.28455881749,0.0,22.8,90
2023-06-03 18:00:00,109674371.8557778,313.2525826106869,109674685.10836041,343.01845804600555,37620.441372550995,0.0,22.2,90
2023-06-03 19:00:00,109664042.7746667,312.2084535750758,109664354.98312028,346.3652334655334,37983.919916575585,0.0,21.7,90
2023-06-03 20:00:00,109664042.7746667,312.2084535750758,109664354.98312028,347.60552217939903,38119.9353783745,0.0,21.7,90
2023-06-03 21:00:00,109664042.7746667,312.2084535750758,109664354.98312028,347.18166707011574,38073.45358120865,0.0,21.7,90
2023-06-03 22:00:00,109664042.7746667,312.2084535750758,109664354.98312028,347.74489911546965,38135.22006016821,0.0,21.7,90
2023-06-03 23:00:00,109664042.7746667,312.2084535750758,109664354.98312028,354.14011475181053,38836.547257905506,0.0,21.7,90
2023-06-04 00:00:00,109664042.7746667,312.2084535750758,109664354.98312028,371.9097252752193,40785.24013425638,0.0,21.7,90
2023-06-04 01:00:00,109651647.87733333,310.964412708878,109651958.84174603,386.9938720421317,42434.63612917176,0.0,21.1,90
2023-06-04 02:00:00,109641318.79622222,309.93616532744187,109641628.73238756,386.3783750990497,42363.15435283318,0.0,20.6,90
2023-06-04 03:00:00,109641318.79622222,309.93616532744187,109641628.73238756,374.6891950293277,41081.533611442705,0.0,20.6,90
2023-06-04 04:00:00,109641318.79622222,309.93616532744187,109641628.73238756,360.08627081630397,39480.44521647116,0.0,20.6,90
2023-06-04 05:00:00,109641318.79622222,309.93616532744187,109641628.73238756,345.66464558512956,37899.2347371571,0.0,20.6,90
2023-06-04 06:00:00,109641318.79622222,309.93616532744187,109641628.73238756,333.26492929332943,36539.70964710462,0.0,20.6,90
2023-06-04 07:00:00,109651647.87733333,310.964412708878,109651958.84174603,325.2937810706305,35669.10029343272,0.0,21.1,90
2023-06-04 08:00:00,109674371.8557778,313.2525826106869,109674685.10836041,321.7866721667294,35291.851941953246,0.0,22.2,90
2023-06-04 09:00:00,109674371.8557778,313.2525826106869,109674685.10836041,322.8808830412409,35411.85917505744,0.0,22.2,90
2023-06-04 10:00:00,109744609.60733332,320.46310616101533,109744930.07043947,326.97422054985526,35883.76296908032,0.0,25.6,90
2023-06-04 11:00:00,109754938.68844447,321.53006848993004,109755260.21851295,334.8358245408458,36749.993052960876,0.0,26.1,90
2023-06-04 12:00:00,109754938.68844447,321.53006848993004,109755260.21851295,346.3182861011679,38010.25360946311,0.0,26.1,90
2023-06-04 13:00:00,109800386.6453333,326.205984725175,109800712.85131803,354.02050390955094,38871.70369325152,0.0,28.3,90
2023-06-04 14:00:00,109823110.62377778,328.5188941999499,109823439.14267197,347.44462777982085,38157.56393442547,0.0,29.4,90
2023-06-04 15:00:00,109823110.62377778,328.5188941999499,109823439.14267197,335.71314042338633,36869.17164668306,0.0,29.4,90
2023-06-04 16:00:00,109744609.60733332,320.46310616101533,109744930.07043947,334.26032680795043,36683.37619086076,0.0,25.6,90
2023-06-04 17:00:00,109697095.83422223,315.56894753624914,109697411.40316977,338.2739711046615,37107.77897525201,0.0,23.3,90
2023-06-04 18:00:00,109697095.83422223,315.56894753624914,109697411.40316977,343.01845804600555,37628.2369111536,0.0,23.3,90
